iter	MAE
0	36706.91963
1	34415.41278
2	31868.8831
3	30181.47123
4	28062.2274
5	26448.33425
6	25385.2968
7	24579.23196
8	23667.31689
9	23038.60274
10	22491.32329
11	22062.84201
12	21476.09589
13	21027.34429
14	20553.86484
15	19973.97991
16	19592.38173
17	19461.97717
18	19030.18539
19	18867.43196
20	18260.95982
21	17914.04931
22	17789.03836
23	17660.03836
24	17386.3589
25	17210.63105
26	17040.02374
27	16845.42009
28	16749.69772
29	16528.1452
30	16441.83105
31	16406.47854
32	16257.37717
33	16170.5589
34	15964.60639
35	15823.09954
36	15744.70959
37	15703.04931
38	15634.33151
39	15540.00091
40	15451.57443
41	15308.58356
42	15253.49863
43	15106.68402
44	15033.65297
45	15009.61644
46	14919.00274
47	14805.54703
48	14728.98995
49	14681.88036
50	14569.10594
51	14522.61644
52	14405.7452
53	14189.59635
54	14129.14338
55	14107.05571
56	14024.09224
57	13937.43379
58	13796.05205
59	13760.62831
60	13702.74064
61	13586.1032
62	13503.62557
63	13457.68493
64	13404.71233
65	13282.24749
66	13217.31507
67	13188.60913
68	13156.39361
69	13123.69132
70	13098.78082
71	13016.69132
72	12923.26027
73	12834.30137
74	12802.71141
75	12773.3653
76	12676.02922
77	12662.34155
78	12612.16712
79	12548.7653
80	12525.57534
81	12488.30959
82	12451.66667
83	12420.64201
84	12352.18447
85	12309.98995
86	12280.8694
87	12247.33516
88	12215.17443
89	12179.26027
90	12127.63561
91	12101.31507
92	12071.02009
93	12038.76438
94	12008.29132
95	11978.16712
96	11956.98356
97	11894.70228
98	11879.27123
99	11833.98447
