iter	Passed	Remaining
0	2	247
1	4	237
2	7	234
3	9	227
4	11	218
5	13	210
6	15	207
7	17	204
8	19	200
9	21	197
10	24	195
11	26	191
12	28	189
13	30	186
14	32	186
15	34	183
16	37	180
17	39	179
18	41	176
19	43	174
20	45	171
21	47	169
22	49	167
23	52	164
24	54	162
25	56	160
26	58	158
27	60	156
28	62	153
29	64	151
30	67	149
31	69	147
32	71	145
33	73	143
34	75	140
35	78	138
36	80	136
37	82	134
38	84	132
39	86	129
40	88	127
41	90	125
42	93	123
43	95	121
44	97	119
45	99	116
46	101	114
47	103	112
48	105	110
49	108	108
50	110	106
51	112	103
52	114	101
53	116	99
54	118	97
55	121	95
56	123	93
57	125	90
58	128	89
59	130	86
60	132	84
61	135	82
62	137	80
63	140	78
64	142	76
65	145	74
66	147	72
67	149	70
68	151	68
69	153	65
70	156	63
71	158	61
72	160	59
73	162	56
74	164	54
75	166	52
76	168	50
77	170	48
78	172	45
79	174	43
80	176	41
81	178	39
82	180	37
83	182	34
84	185	32
85	187	30
86	189	28
87	191	26
88	193	23
89	195	21
90	197	19
91	199	17
92	201	15
93	203	12
94	205	10
95	207	8
96	209	6
97	211	4
98	213	2
99	215	0
